Control ID,Control Family,Control Name,Baseline (SP 800-53B),Control Requirement Summary,Applicability,Applicability Rationale,Control Origination,System / Process,Control Owner,Business Requirements (REQ),Implementation Status (Owner-Stated),Implementation Status (Assessor-Validated),Status Changed by Assessor?,Implementation Description,Evidence Required,Evidence Available (EVID),Evidence Location,Highest Evidence Level,Testing Method,Test Procedure / Expected vs Actual,Assessment Result,Gap Identified,Risk Rating,Related Risk ID,Related Finding ID,Related POA&M ID,POA&M Status (as of status date),Observations,Last Reviewed,Next Review,CSF 2.0 Function (informal),Notes
CM-3,CM - Configuration Management,Configuration Change Control,Moderate,"Determine and document types of changes that are configuration-controlled; review, approve or disapprove, document, and implement changes; retain records; monitor and review activities.",Applicable,,System-specific,"SYS-01, SYS-03, SYS-05","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-023,Implemented,Partially Implemented,Yes,"Code and IaC changes go through GitHub PRs with required reviews and CI, then deploy through a protected environment with approvers. The change management procedure CMP-006 requires emergency changes to be retro-approved within 2 business days. Console changes have no preventive gate.","Change population for the period; sample tickets with approvals, reviews, tests, and deployment timestamps",EVID-030,evidence/CM/EVID-030_change-sample-2026H1.csv,Operating Effectiveness,"Examine, Test","Random sample of 25 of 212 changes (test-results/cm3-change-sample.md). Expected: 25 of 25 approved before deployment, or retro-approved within 2 business days for emergencies. Actual: 3 exceptions. CHG-2026-0412 (emergency RDP change, never approved or reverted), CHG-2026-0288 (retro approval after 9 days), and CHG-2026-0356 (deployed 5h38m before approval).",Other Than Satisfied,The emergency and console change paths bypass approval.,Moderate,RISK-014,FIND-018,POAM-018,POAM-018: In Progress,,2026-07-17,2026-12-31,PR,
CM-6,CM - Configuration Management,Configuration Settings,Moderate,"Establish and document configuration settings using common secure configurations; implement them; identify, document, and approve deviations; monitor and control changes to settings.",Applicable,,System-specific,"SYS-01, SYS-05","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-001,Implemented,Partially Implemented,Yes,"AWS Security Hub runs the CIS AWS Foundations benchmark across accounts (97% of controls passing at 2026-06-30). Deviations are supposed to be triaged within 7 days (High) by SRE. The SRE on-call runbook did not include Security Hub findings, so triage depended on ad-hoc review.",Secure configuration baseline; CSPM results and history; deviation approvals,EVID-028; EVID-053; EVID-068,GRC-Vault:/WCP-2026/CM/EVID-028_securityhub.csv; evidence/CM/EVID-053_wf-sftp-01-security-group_2026-07-02.json; GRC-Vault:/WCP-2026/SC/EVID-068_sg-fix.zip,Operating Effectiveness,"Examine, Test","Examined the Security Hub finding history. Expected: High deviations triaged within 7 days, or approved as exceptions. Actual: 3 High findings were open more than 30 days without triage, including 'Security group allows ingress from 0.0.0.0/0 to port 3389' on wf-sftp-01 (open 43 days). Remediated 2026-07-03; the security group and Security Hub re-evaluation were validated 2026-07-10 (EVID-068).",Other Than Satisfied,Deviation detection works; deviation response did not.,High,RISK-012; RISK-007,FIND-012,POAM-012,POAM-012: Closed,,2026-07-10,2027-07-15,PR,
CM-8,CM - Configuration Management,System Component Inventory,Moderate,Develop and document an accurate inventory of system components at the granularity needed for tracking and reporting; review and update it at a defined frequency.,Applicable,,System-specific,"SYS-01, SYS-10","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-001,Implemented,Implemented,No,"AWS Config aggregator (all accounts) plus the MDM inventory for endpoints. A tag policy requires owner, environment, and data-classification tags.",Inventory exports; tag compliance; reconciliation to billing and resource counts,EVID-031,GRC-Vault:/WCP-2026/CM/EVID-031_inventory.zip,Implementation,"Examine, Test","Reconciled the AWS Config resource counts to Cost Explorer resource IDs for EC2, EKS, and RDS (100% present in inventory). Expected: complete inventory with ownership. Actual: inventory complete, but 7% of EC2/EKS resources lack an owner tag, which reduces scanner scoping accuracy (OBS-02).",Satisfied,Owner-tag compliance at 93% (observation).,Low,RISK-006,,,n/a,OBS-02,2026-07-17,2027-07-15,ID,
CP-2,CP - Contingency Planning,Contingency Plan,Moderate,"Develop a contingency plan that identifies essential functions, recovery objectives, restoration priorities, roles, and contacts; distribute, review, update, and protect it.",Applicable,,System-specific,SYS-01,"Tomasz Wierzbicki (Director, Platform Engineering)",REQ-011; REQ-017,Implemented,Implemented,No,"BC/DR Plan BCP-003 v2.1 (2025-11). RTO 4h and RPO 1h for WCP-PROD. Restoration priorities are the auth, care-plan, and RPM ingestion services. Covers clinical downtime procedures coordinated with customers.","Approved current plan with defined RTO/RPO, roles, and distribution",EVID-032,GRC-Vault:/WCP-2026/CP/EVID-032_BCP-003_v2.1.pdf,Design,"Examine, Interview","Examined BCP-003 v2.1 against CP-2 elements. Expected: current, approved, with objectives and roles. Actual: met. The plan is sound on paper; whether it works is tested under CP-4 and CP-9(1).",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,RC,
CP-4,CP - Contingency Planning,Contingency Plan Testing,Moderate,Test the contingency plan at a defined frequency using defined tests to determine effectiveness and readiness; review results and initiate corrective actions.,Applicable,,System-specific,SYS-01,"Tomasz Wierzbicki (Director, Platform Engineering)",REQ-011; REQ-017,Implemented,Not Implemented,Yes,The owner cited a 2024 AZ-failover exercise. BCP-003 requires an annual test (tabletop or functional). No plan-level test was performed in the 12 months before fieldwork.,"Test plan, test records, after-action report, and corrective actions within the last 12 months",EVID-033,GRC-Vault:/WCP-2026/CP/EVID-033_az-failover-notes-2024.md,Design,"Examine, Interview","Requested all CP test records for the past 24 months. Expected: at least 1 plan-level test in the last 12 months. Actual: only 2024-04 engineering notes on an AZ failover (not a plan-level test, with no after-action report). Evidence was marked Insufficient. A combined ransomware tabletop (IR + CP) is scheduled for 2026-10-14.",Other Than Satisfied,Contingency plan not tested.,Moderate,RISK-008,FIND-014,POAM-014,POAM-014: In Progress,,2026-07-17,2026-10-31,RC,
CP-9,CP - Contingency Planning,System Backup,Moderate,"Conduct backups of user-level, system-level, and security-related information at a defined frequency consistent with recovery objectives; protect the confidentiality, integrity, and availability of backups.",Applicable,,System-specific,"SYS-01, SYS-04","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-011; REQ-017,Implemented,Implemented,No,"Aurora continuous backup (PITR, 35 days), plus daily AWS Backup copies to the wcp-dr account in us-west-2 in a vault with Vault Lock (compliance mode) and KMS encryption. S3 versioning plus cross-region replication for documents.",Backup plans; job history; vault protection settings; cross-region copies,EVID-034,GRC-Vault:/WCP-2026/CP/EVID-034_backup-config.zip,Operating Effectiveness,"Examine, Test","Examined the backup plans and 30 days of job history (30 of 30 successful), and confirmed Vault Lock plus cross-account copy. Expected: backups taken per RPO and protected from deletion. Actual: met. Whether backups can actually be restored is tested separately under CP-9(1).",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
CP-9(1),CP - Contingency Planning,Testing for Reliability and Integrity,Moderate,Test backup information at a defined frequency to verify media reliability and information integrity.,Applicable,,System-specific,SYS-04,"Tomasz Wierzbicki (Director, Platform Engineering)",REQ-011; REQ-017,Implemented,Partially Implemented,Yes,The owner treated backup-job success notifications as testing. No restore of wcp-core-db from the DR vault had been performed or documented.,"Restore test records showing restore steps, time taken, data-integrity checks, and results against RTO/RPO",EVID-035; EVID-069,GRC-Vault:/WCP-2026/CP/EVID-035_backup-job-notifications.pdf; evidence/CP/EVID-069_restore-test-record_2026-08-27.md,Operating Effectiveness,"Examine, Test","Expected: an annual documented restore test with integrity validation. Actual: none; job-success logs only (EVID-035, Insufficient). Validation: the assessor observed a restore test on 2026-08-27 (EVID-069). wcp-core-db was restored from the wcp-dr vault into an isolated account in 3h41m (RTO 4h). Data loss was 11 minutes (RPO 1h). Row-count and checksum validation passed on 12 tables.",Other Than Satisfied,Backup recoverability had never been demonstrated.,Moderate,RISK-008,FIND-013,POAM-013,POAM-013: Closed,,2026-09-01,2027-07-15,RC,
IA-2,IA - Identification and Authentication,Identification and Authentication (Organizational Users),Moderate,Uniquely identify and authenticate organizational users and associate that identification with processes acting on their behalf.,Applicable,,Common (Okta),"SYS-02, and all SSO-integrated systems",Nadia Rahman (IAM Engineer),REQ-020,Implemented,Implemented,No,Every workforce user has a unique Okta identity tied to an HR worker ID. Shared human accounts are prohibited (ACP-002 §4.2). The one shared vendor login found (ironpeak-soc) is reported under AC-2 and IA-5 as FIND-005.,User population with unique identifiers mapped to HR,EVID-005,access-review/source-exports/okta_users.csv,Implementation,"Examine, Test","Mapped the Okta population to HR worker IDs. Expected: unique identity per person. Actual: met for workforce identities (the duplicate rgupta2 is one person with two accounts, handled under AC-2 and FIND-004). The shared EDR vendor login is handled under FIND-005.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
IA-2(1),IA - Identification and Authentication,Multi-factor Authentication to Privileged Accounts,Moderate,Implement multi-factor authentication for access to privileged accounts.,Applicable,,Hybrid (Okta + AWS IAM),"SYS-01, SYS-02",Nadia Rahman (IAM Engineer),REQ-003; REQ-020,Implemented,Partially Implemented,Yes,The Okta global session policy requires MFA except for members of MFA-Exempt-Legacy (a 2023 policy). AWS Identity Center access inherits Okta MFA. Legacy IAM users authenticate directly to AWS.,Authentication policies; exemption groups; privileged-user MFA status; AWS credential report,EVID-007; EVID-010; EVID-011; EVID-063; EVID-064,evidence/IA/EVID-007_aws-iam-credential-report_2026-06-30.csv; evidence/IA/EVID-010_okta-authentication-policies_2026-06-30.json; evidence/IA/EVID-011_okta-mfa-exempt-group_2026-06-30.csv; evidence/IA/EVID-063_okta-authentication-policies_2026-09-04.json; evidence/IA/EVID-064_aws-iam-credential-report_2026-09-04.csv,Implementation,"Examine, Test","Expected: 100% of privileged access requires MFA. Actual: 1 Okta Super Administrator (kbrandt) was in the exemption group, and the IAM user mfeld-admin (AdministratorAccess) had a console password without MFA. Validation (2026-09-04): the exemption policy and group were deleted, admin apps require phishing-resistant factors, and only aws-breakglass (hardware MFA) remains as an IAM user. A password-only sign-in was re-performed and denied.",Other Than Satisfied,MFA was bypassable for some privileged access.,High,RISK-003; RISK-001,FIND-002,POAM-002,POAM-002: Closed,,2026-09-05,2027-07-15,PR,
IA-2(2),IA - Identification and Authentication,Multi-factor Authentication to Non-privileged Accounts,Moderate,Implement multi-factor authentication for access to non-privileged accounts.,Applicable,,Common (Okta),SYS-02,Nadia Rahman (IAM Engineer),REQ-003; REQ-020,Implemented,Partially Implemented,Yes,"As for IA-2(1). The exemption group held 11 accounts (9 human, 2 service), added 2023–2025 for lost phones, SMS problems, shared clinic workstations, and a scanner.",Authentication policy; exemption group membership with reasons and approvals,EVID-010; EVID-011; EVID-063,evidence/IA/EVID-010_okta-authentication-policies_2026-06-30.json; evidence/IA/EVID-011_okta-mfa-exempt-group_2026-06-30.csv; evidence/IA/EVID-063_okta-authentication-policies_2026-09-04.json,Implementation,"Examine, Test","Expected: 100% MFA, or time-bound approved exceptions. Actual: 9 of 347 human accounts (2.6%) exempt, and 0 of 11 exemptions had approval or expiry (the oldest dated 2023-05). Validation: all 9 enrolled (1 with a hardware key as an accessibility accommodation), both service accounts converted to non-interactive integrations, and the group deleted.",Other Than Satisfied,"Permanent, unapproved MFA exemptions.",High,RISK-003,FIND-002,POAM-002,POAM-002: Closed,,2026-09-05,2027-07-15,PR,
IA-2(8),IA - Identification and Authentication,Access to Accounts — Replay Resistant,Moderate,Implement replay-resistant authentication mechanisms for access to privileged and non-privileged accounts.,Applicable,,Common (Okta),SYS-02,Nadia Rahman (IAM Engineer),REQ-020,Implemented,Implemented,No,"All enabled authenticators are replay-resistant (Okta Verify push with number challenge, FastPass, FIDO2/WebAuthn, TOTP). SMS, voice, email, and security questions have been disabled org-wide since 2025.",Authenticator configuration,EVID-012; EVID-010,GRC-Vault:/WCP-2026/IA/EVID-012_okta-authenticators.json; evidence/IA/EVID-010_okta-authentication-policies_2026-06-30.json,Implementation,Examine,Examined the enabled authenticators. Expected: only replay-resistant factors for users who authenticate with MFA. Actual: met. The exempt users under IA-2(1)/(2) did not use weak factors; they used no second factor at all.,Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
IA-5,IA - Identification and Authentication,Authenticator Management,Moderate,"Manage authenticators by verifying identity before distribution, establishing initial content, ensuring strength, managing lost or compromised authenticators, changing or refreshing them at defined frequencies, and protecting their content.",Applicable,,Hybrid,"SYS-01, SYS-02, SYS-05, SYS-08",Nadia Rahman (IAM Engineer),REQ-020,Implemented,Partially Implemented,Yes,"Human authenticators are strong (Okta password policy plus MFA; help-desk identity verification SOP). For service credentials, the standard requires rotation within 365 days or federation. Secrets Manager auto-rotates DB credentials, and CI/CD uses OIDC with no static keys. Some legacy service credentials are outside this.",Password and authenticator policies; service credential inventory with rotation dates; help-desk verification records,EVID-007; EVID-013; EVID-064; EVID-065,evidence/IA/EVID-007_aws-iam-credential-report_2026-06-30.csv; access-review/source-exports/service_accounts.csv; evidence/IA/EVID-064_aws-iam-credential-report_2026-09-04.csv; GRC-Vault:/WCP-2026/IA/EVID-065_service-register-v2026-09.csv,Operating Effectiveness,"Examine, Test","Tested credential age for all 13 registered non-human accounts. Expected: none older than 365 days unless federated. Actual: 3 stale (svc-quarrystone-sftp SSH key 811 days; svc-reporting-etl access key 539 days; svc-vulnscan password since 2023), and 1 shared vendor password (ironpeak-soc). Sampled 5 help-desk MFA resets: 5 of 5 had identity verification recorded.",Other Than Satisfied,"Long-lived static service credentials, and a shared credential.",Moderate,RISK-017,FIND-005,POAM-005,POAM-005: Closed,,2026-09-12,2027-07-15,PR,
IR-3,IR - Incident Response,Incident Response Testing,Moderate,Test the effectiveness of the incident response capability at a defined frequency using defined tests.,Applicable,,Common (organization-wide),WCP-PROD,Owen Castillo (Security Engineer),REQ-006; REQ-016,Implemented,Partially Implemented,Yes,"IRP-005 requires an annual tabletop exercise that includes the MDR, Legal/Privacy, and Customer Ops. The last tabletop was 2024-09-18 (phishing-to-BEC scenario). The 2025 exercise was deferred twice.","Exercise plan, attendance, after-action report, and corrective actions within 12 months",EVID-037,GRC-Vault:/WCP-2026/IR/EVID-037_tabletop-2024-09.pdf,Design,"Examine, Interview","Expected: an IR exercise within the last 12 months with tracked corrective actions. Actual: the most recent was 21 months before fieldwork (EVID-037, Insufficient for the period). The 24-hour SHCA reporting path has never been exercised. Mitigating factor: real incidents in H1 were handled well (IR-4), which lowers but does not remove the risk.",Other Than Satisfied,IR capability not tested in the required period; SHCA-specific reporting path not rehearsed.,Moderate,RISK-009,FIND-014,POAM-014,POAM-014: In Progress,,2026-07-17,2026-10-31,RS,
IR-4,IR - Incident Response,Incident Handling,Moderate,"Implement an incident-handling capability covering preparation, detection and analysis, containment, eradication, and recovery; coordinate with contingency planning; incorporate lessons learned.",Applicable,,Common (organization-wide),WCP-PROD,Owen Castillo (Security Engineer),REQ-016,Implemented,Implemented,No,"24x7 MDR triage with escalation to the on-call security engineer. IRP-005 playbooks for phishing, lost device, cloud credential misuse, privacy incidents, and malware. The Privacy Officer runs the HIPAA breach risk assessment.","Incident records for the period with timeline, actions, and lessons learned",EVID-038; EVID-078,evidence/IR/EVID-038_incident-tickets-2026H1.csv; evidence/IR/EVID-078_INC-2026-0117-investigation.md,Operating Effectiveness,"Examine, Test","Tested all 6 incidents in H1 plus INC-2026-0117 (raised during the assessment). Expected: triage within SLA, containment, documentation, and a privacy assessment where PHI was involved. Actual: 7 of 7 met. INC-2026-0117 (a post-termination sign-in) was contained the same day, and a 4-factor assessment concluded low probability of compromise.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,RS,
IR-6,IR - Incident Response,Incident Reporting,Moderate,Require personnel to report suspected incidents within a defined time; report incident information to defined authorities.,Applicable,,Common (organization-wide),WCP-PROD,Rachel Stein (HIPAA Privacy Officer),REQ-006; REQ-016; REQ-022,Implemented,Implemented,No,"Workforce reporting through the #security-report Slack channel, the phone line, or MDR. External notification matrix covers customers (BAA, 5 business days), HHS (via covered entities), and SHCA (24h, from go-live).",Reporting procedures; notification records for reportable incidents,EVID-038,evidence/IR/EVID-038_incident-tickets-2026H1.csv,Operating Effectiveness,"Examine, Test","Expected: every incident requiring notification is notified within its contractual window. Actual: 1 notifiable privacy incident (INC-2026-0077), with the customer notified in 2 business days (the BAA allows 5). The SHCA 24h path is documented but untested (see IR-3).",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,RS,
IR-8,IR - Incident Response,Incident Response Plan,Moderate,"Develop an incident response plan that provides a roadmap, structure, metrics, and roles; distribute, review, and update it; protect it from unauthorized disclosure.",Applicable,,Common (organization-wide),WCP-PROD,Owen Castillo (Security Engineer),REQ-006; REQ-016,Implemented,Implemented,No,"IRP-005 v4.0 was reviewed 2025-11 and approved by the CISO. It defines severity levels, roles, the MDR interface, communications, and breach assessment. The contact roster lists 2 departed staff (mfeld, a former Privacy Analyst).",Current approved plan; review history; distribution,EVID-036,GRC-Vault:/WCP-2026/IR/EVID-036_IRP-005_v4.0.pdf,Design,Examine,"Expected: a plan reviewed within 12 months with current contacts. Actual: reviewed 2025-11 (current), but the contact roster is stale (OBS-03), which the tabletop in POAM-014 will fix. The plan does not yet include the SHCA-specific 24h notification step; that is added in POAM-014 milestone 1.",Satisfied,Stale contact roster (observation).,Low,RISK-009,,,n/a,OBS-03,2026-07-17,2027-07-15,RS,
MP-6,MP - Media Protection,Media Sanitization,Moderate,"Sanitize system media before disposal, release, or reuse using defined techniques; use mechanisms with strength and integrity matching the information's classification.",Applicable,,Hybrid (AWS-managed storage media inherited; endpoints Wrenfield),SYS-10 (endpoints); AWS storage inherited,Kevin Brandt (IT Manager),REQ-021,Implemented,Implemented,No,"Laptops are FDE-encrypted. At retirement, the MDM wipe is followed by physical destruction by Coldwater Secure Destruction (fictional ITAD), with certificates of destruction by serial number. Cloud storage media sanitization is inherited from AWS under the shared-responsibility model.",Disposal records reconciled to the asset inventory; certificates of destruction,EVID-039; EVID-040,GRC-Vault:/WCP-2026/MP/EVID-039_itad-certificates.pdf; docs/scope/system-profile.md,Operating Effectiveness,"Examine, Test",Reconciled 14 laptops retired in H1 (MDM status: Retired) to Coldwater certificates by serial number. Expected: 14 of 14 certificates. Actual: 14 of 14.,Satisfied,,,RISK-018,,,n/a,,2026-07-17,2027-07-15,PR,
PE-3,PE - Physical and Environmental Protection,Physical Access Control,Moderate,Enforce physical access authorizations at entry and exit points to facilities where the system resides; maintain audit logs; control visitor access; secure keys and combinations.,Applicable,,Common (inherited from AWS),AWS data centers (inherited),"Priya Raman (Security Compliance Manager), who verifies the inheritance",REQ-001,Implemented,Implemented,No,"Inherited. WCP-PROD runs entirely in AWS data centers, and physical security is the provider's responsibility under the shared-responsibility model. Wrenfield's responsibility is to keep the inheritance record current and review the provider's attestations annually. The HQ office holds no system components.",Inheritance record; evidence of annual review of the provider's attestation documentation,EVID-040,docs/scope/system-profile.md,Design,Examine,Examined the inheritance record and confirmed the provider attestation review was logged in 2026-03 by the GRC Manager. Expected: current inheritance record and annual review. Actual: met. The provider's own controls were not tested (out of scope). No statement is made about any real provider's controls.,Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
PL-2,PL - Planning,System Security and Privacy Plans,Moderate,"Develop security and privacy plans that describe the system, boundary, categorization, threats, controls, and relationships; distribute, review, update, and protect them.",Applicable,,System-specific,WCP-PROD,Priya Raman (Security Compliance Manager),REQ-001; REQ-002,Implemented,Partially Implemented,Yes,"SSP v1.3 dated 2025-02. It predates the EKS migration (2025-Q3), the Quarrystone SFTP data flow, and the log-archive account, and states a higher implementation status than testing supports for 27 of the 61 in-scope controls (the 'owner-stated' column in the matrix). It was written for SOC 2 narrative purposes and is not organized by 800-53 control.","Current SSP reflecting the boundary, inventory, data flows, and control implementations",EVID-041,GRC-Vault:/WCP-2026/PL/EVID-041_SSP_v1.3.pdf,Design,Examine,"Compared the SSP to the as-found environment (system profile). Expected: SSP current within 12 months and accurate. Actual: 19 months old, 3 major architecture changes missing, and 27 of 61 controls described at a higher implementation status than testing supports.",Other Than Satisfied,Outdated SSP that overstates controls.,Low,RISK-016,FIND-017,POAM-017,POAM-017: In Progress,,2026-07-17,2026-12-15,GV,"The SSP rewrite is scoped to SP 800-18 Rev. 2 (June 2026), which covers security, privacy, and C-SCRM plans together."
PM-9,PM - Program Management,Risk Management Strategy,Org-level (PM family is not allocated to baselines),"Develop an organization-wide strategy for managing security and privacy risk, including risk tolerance; implement it consistently; review and update it at a defined frequency.",Applicable,,Common (organization-wide),Organization-wide,Alicia Moreno (CISO),REQ-024; REQ-012,Implemented,Implemented,No,"Risk Management Strategy RMS-001 and a Board-approved Risk Appetite Statement (2025-10-21) define appetite by rating, acceptance authority, and escalation. The risk-scoring methodology (RSK-MTH-001) operationalizes them.",Approved strategy and appetite; evidence of use in decisions,EVID-042; EVID-060,GRC-Vault:/WCP-2026/PM/EVID-042_RMS-001_and_appetite.pdf; risk/risk-acceptance/RACC-001.md,Operating Effectiveness,"Examine, Interview","Expected: an approved strategy with defined tolerance, applied in decisions. Actual: met. RACC-001 followed the acceptance authority matrix, and VR-001 (Critical) was escalated to the CEO within 5 business days as the strategy requires.",Satisfied,,,,,,n/a,OBS-06,2026-07-17,2027-07-15,GV,
PS-3,PS - Personnel Security,Personnel Screening,Moderate,Screen individuals before authorizing access to the system; rescreen according to defined conditions and frequency.,Applicable,,Hybrid (employees Wrenfield; contractors screened by staffing firm under contract),All workforce,Denise Yamamoto (Director of People),REQ-014,Implemented,Implemented,No,Background checks are required before system access for all employees. Contractors are screened by Northgate under MSA §8 (attestation per placement).,Screening completion before the access-grant date for a sample of new hires and contractors,EVID-043,GRC-Vault:/WCP-2026/PS/EVID-043_screening-sample.pdf,Operating Effectiveness,"Examine, Test","Sampled 15 H1 new hires and contractors, comparing screening completion dates to the Okta account creation date. Expected: 15 of 15 screened before access. Actual: 15 of 15 (contractors by Northgate attestation).",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,GV,
PS-4,PS - Personnel Security,Personnel Termination,Moderate,"Upon termination, disable system access within a defined period, terminate or revoke authenticators, conduct exit interviews as needed, retrieve organizational property, and retain access to organizational information.",Applicable,,Hybrid (HR + IT),All workforce,Denise Yamamoto (Director of People),REQ-004; REQ-013,Implemented,Partially Implemented,Yes,HR processes terminations in PeopleHub and emails IT. Asset return is tracked by IT. Access removal depends on IT creating a ticket (see AC-2(3)).,Termination population; access removal timing; asset-return records,EVID-003; EVID-004; EVID-061,evidence/AC/EVID-003_peoplehub-terminations-2026H1.csv; evidence/AC/EVID-004_okta-deactivation-events-2026H1.csv; evidence/AC/EVID-061_terminations-and-deactivations_2026-07-01_to_09-09.csv,Operating Effectiveness,"Examine, Test",Same population as AC-2(3). Asset return: 19 of 19 laptops recovered or wiped. Access removal: 16 of 19 within 24h. The HR-to-IT handoff failed for 2 of 19 terminations (the AP team turnover and a staffing-vendor end date).,Other Than Satisfied,The HR-to-IT handoff is unreliable.,High,RISK-002,FIND-001,POAM-001,POAM-001: Closed,,2026-09-10,2027-07-15,GV,
PS-5,PS - Personnel Security,Personnel Transfer,Moderate,Review and confirm the ongoing operational need for current access when individuals are reassigned or transferred; initiate defined transfer actions within a defined period.,Applicable,,Hybrid (HR + IT),All workforce,Denise Yamamoto (Director of People),REQ-014,Implemented,Partially Implemented,Yes,Transfers are updated in PeopleHub. New access is requested through tickets. There is no step to remove the prior role's access.,Transfer population; access before and after transfer,EVID-044,GRC-Vault:/WCP-2026/PS/EVID-044_transfers.csv,Operating Effectiveness,"Examine, Test","Tested all 6 H1 transfers. Expected: prior-role access removed within 5 business days of the transfer. Actual: 5 of 6 transfers had no prior-role privileged or PHI access to remove. In 1 of 6 (cfernandes), PHI support access was retained for 5 months and used after the transfer.",Other Than Satisfied,No access re-baselining on transfer.,Moderate,RISK-004,FIND-004,POAM-004,POAM-004: In Progress,,2026-07-17,2026-12-15,GV,
PS-7,PS - Personnel Security,External Personnel Security,Moderate,Establish personnel security requirements for external providers; require them to comply with policies; document the requirements; require notification of transfers and terminations within a defined time; monitor compliance.,Applicable,,Hybrid,"Contractors (Northgate), vendor personnel (Ironpeak)","Sofia Ricci (Engineering Manager, contractor sponsor)",REQ-004; REQ-008; REQ-013,Implemented,Partially Implemented,Yes,The Northgate MSA requires screening and 2-business-day notice of contractor departures. Contractor end dates are entered in PeopleHub but not enforced in Okta. Contractor access is approved by the sponsor with no link to the SOW scope.,Contractor roster with SOW dates; notices of departure; access vs SOW scope,EVID-045; EVID-066,GRC-Vault:/WCP-2026/PS/EVID-045_contractor-sow-register.xlsx; GRC-Vault:/WCP-2026/PS/EVID-066_contractor-expiry.csv,Operating Effectiveness,"Examine, Test",Tested all 5 contractors active in H1 against SOW dates and scope. Expected: access ends at the contract end date and matches SOW scope. Actual: 1 contractor ended without de-provisioning (reported under FIND-001). 1 was active past the recorded end date with the extension undocumented (AR-EX-15). 1 had PHI production access outside the QA SOW scope (AR-EX-16).,Other Than Satisfied,Contractor access is not bound to the engagement term and scope.,Moderate,RISK-002; RISK-004,FIND-006; FIND-001,POAM-006; POAM-001,POAM-006: Closed; POAM-001: Closed,,2026-09-10,2027-07-15,GV,
RA-2,RA - Risk Assessment,Security Categorization,Moderate,"Categorize the system and information it processes, stores, and transmits; document results in the security plan; have the authorizing official or designee review and approve the categorization.",Applicable,,System-specific,WCP-PROD,"Samir Haddad (CTO, system owner)",REQ-001; REQ-012,Implemented,Implemented,No,"FIPS 199 categorization worksheet (2025-06) rates WCP-PROD Moderate. It was re-validated during this engagement (system profile §4), including a challenge on integrity for RPM data, with review triggers documented.",Categorization with rationale and approval,EVID-046,docs/scope/system-profile.md,Design,"Examine, Interview","Expected: a documented, approved categorization consistent with the data and mission. Actual: met. The assessor independently reached the same result (Moderate) and recorded a trigger to re-categorize if real-time clinical alerting is added.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,ID,
RA-3,RA - Risk Assessment,Risk Assessment,Moderate,"Conduct risk assessments identifying threats, vulnerabilities, likelihood, and impact; integrate results with organization-level determinations; document, review, disseminate, and update them.",Applicable,,Common (organization-wide),WCP-PROD,Priya Raman (Security Compliance Manager),REQ-012,Implemented,Implemented,No,"Annual HIPAA risk analysis (2025-09 report) using an SP 800-30-style method. As of 2026-08, it is superseded by the enterprise risk register in this engagement (18 risks, scored with RSK-MTH-001).",Current risk assessment; methodology; evidence of update and dissemination,EVID-047,GRC-Vault:/WCP-2026/RA/EVID-047_risk-analysis-2025.pdf,Design,Examine,"Expected: a risk assessment within 12 months covering threats, vulnerabilities, likelihood, and impact. Actual: 2025-09 analysis present and adequate. It did not identify the vendor offshore-access or retention gaps; the new register adds them.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,ID,
RA-5,RA - Risk Assessment,Vulnerability Monitoring and Scanning,Moderate,Monitor and scan for vulnerabilities at a defined frequency and when new vulnerabilities are reported; use interoperable tools; analyze reports; remediate per risk; share information; use tools that can update the vulnerabilities scanned.,Applicable,,System-specific,"SYS-01, SYS-05",Owen Castillo (Security Engineer),REQ-009,Implemented,Implemented,No,"Weekly authenticated scanning of EC2 and EKS nodes (agent-based), container image scanning in CI and in the registry, and a weekly external scan of internet-facing endpoints. Scan scope is driven by owner tags.",Scan configuration and coverage; scan history; findings export,EVID-048; EVID-031,evidence/RA/EVID-048_vuln-remediation-aging-2026H1.csv; GRC-Vault:/WCP-2026/CM/EVID-031_inventory.zip,Operating Effectiveness,"Examine, Test",Compared scan coverage to the CM-8 inventory. Expected: all production assets scanned weekly. Actual: 100% of tagged assets scanned. Untagged resources (7%) were caught by the external and registry scans but missed by host scans for 1–3 weeks (OBS-02). Remediation timeliness is assessed under SI-2.,Satisfied,Tag-driven scoping leaves a coverage lag for untagged resources (observation).,Low,RISK-006,,,n/a,OBS-02,2026-07-17,2027-07-15,ID,
